customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,Churn,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,tenure_bucket,num_services,avg_charge_per_service,charge_to_tenure_ratio,is_month_to_month,has_internet,senior_and_alone
9959-WOFKT,Male,0,No,Yes,71,Two year,No,Bank transfer (automatic),No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,106.7,7382.25,4yr+,4,21.34,103.97535211267606,0,1,0
4190-MFLUW,Female,0,Yes,Yes,10,Month-to-month,No,Credit card (automatic),Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,55.2,528.35,0-1yr,2,18.400000000000002,52.835,1,1,0
4183-MYFRB,Female,0,No,No,21,Month-to-month,Yes,Electronic check,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,90.05,1862.9,1-2yr,3,22.5125,88.70952380952382,1,1,0
8779-QRDMV,Male,1,No,No,1,Month-to-month,Yes,Electronic check,Yes,No,No phone service,DSL,No,No,Yes,No,No,Yes,39.65,39.65,0-1yr,2,13.216666666666667,39.65,1,1,1
1680-VDCWW,Male,0,Yes,No,12,One year,No,Bank transfer (automatic),No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.8,202.25,0-1yr,0,19.8,16.854166666666668,0,0,0
1066-JKSGK,Male,0,No,No,1,Month-to-month,No,Mailed check,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.15,20.15,0-1yr,0,20.15,20.15,1,0,0
3638-WEABW,Female,0,Yes,No,58,Two year,Yes,Credit card (automatic),No,Yes,Yes,DSL,No,Yes,No,Yes,No,No,59.9,3505.1,4yr+,2,19.966666666666665,60.432758620689654,0,1,0
6322-HRPFA,Male,0,Yes,Yes,49,Month-to-month,No,Credit card (automatic),No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,59.6,2970.3,4yr+,3,14.9,60.61836734693878,1,1,0
6865-JZNKO,Female,0,No,No,30,Month-to-month,Yes,Bank transfer (automatic),No,Yes,No,DSL,Yes,Yes,No,No,No,No,55.3,1530.6,2-4yr,2,18.433333333333334,51.019999999999996,1,1,0
6467-CHFZW,Male,0,Yes,Yes,47,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,99.35,4749.15,2-4yr,3,24.8375,101.04574468085106,1,1,0
8665-UTDHZ,Male,0,Yes,Yes,1,Month-to-month,No,Electronic check,Yes,No,No phone service,DSL,No,Yes,No,No,No,No,30.2,30.2,0-1yr,1,15.1,30.2,1,1,0
5248-YGIJN,Male,0,Yes,No,72,Two year,Yes,Credit card (automatic),No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,90.25,6369.45,4yr+,6,12.892857142857142,88.46458333333334,0,1,0
8773-HHUOZ,Female,0,No,Yes,17,Month-to-month,Yes,Mailed check,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,64.7,1093.1,1-2yr,2,21.566666666666666,64.3,1,1,0
3841-NFECX,Female,1,Yes,No,71,Two year,Yes,Credit card (automatic),No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,96.35,6766.95,4yr+,4,19.27,95.30915492957746,0,1,0
4929-XIHVW,Male,1,Yes,No,2,Month-to-month,Yes,Credit card (automatic),No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,95.5,181.65,0-1yr,3,23.875,90.825,1,1,0
6827-IEAUQ,Female,0,Yes,Yes,27,One year,No,Mailed check,No,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,66.15,1874.45,2-4yr,4,13.23,69.42407407407407,0,1,0
7310-EGVHZ,Male,0,No,No,1,Month-to-month,No,Bank transfer (automatic),No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.2,20.2,0-1yr,0,20.2,20.2,1,0,0
3413-BMNZE,Male,1,No,No,1,Month-to-month,No,Bank transfer (automatic),No,Yes,No,DSL,No,No,No,No,No,No,45.25,45.25,0-1yr,0,45.25,45.25,1,1,1
6234-RAAPL,Female,0,Yes,Yes,72,Two year,No,Bank transfer (automatic),No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,99.9,7251.7,4yr+,4,19.98,100.71805555555555,0,1,0
6047-YHPVI,Male,0,No,No,5,Month-to-month,Yes,Electronic check,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,69.7,316.9,0-1yr,0,69.7,63.379999999999995,1,1,0
6572-ADKRS,Female,0,No,No,46,Month-to-month,Yes,Credit card (automatic),No,Yes,No,Fiber optic,No,No,Yes,No,No,No,74.8,3548.3,2-4yr,1,37.4,77.13695652173914,1,1,0
5380-WJKOV,Male,0,No,No,34,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,106.35,3549.25,2-4yr,4,21.27,104.38970588235294,1,1,0
8168-UQWWF,Female,0,No,No,11,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,97.85,1105.4,0-1yr,3,24.4625,100.4909090909091,1,1,0
8865-TNMNX,Male,0,Yes,Yes,10,One year,No,Mailed check,No,Yes,No,DSL,No,Yes,No,No,No,No,49.55,475.7,0-1yr,1,24.775,47.57,0,1,0
9489-DEDVP,Female,0,Yes,Yes,70,Two year,Yes,Credit card (automatic),No,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,69.2,4872.35,4yr+,3,17.3,69.605,0,1,0
9867-JCZSP,Female,0,Yes,Yes,17,One year,No,Mailed check,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.75,418.25,1-2yr,0,20.75,24.602941176470587,0,0,0
4671-VJLCL,Female,0,No,No,63,Two year,Yes,Credit card (automatic),No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,79.85,4861.45,4yr+,5,13.308333333333332,77.16587301587302,0,1,0
4080-IIARD,Female,0,Yes,No,13,Month-to-month,Yes,Electronic check,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,76.2,981.45,1-2yr,4,15.24,75.49615384615385,1,1,0
3714-NTNFO,Female,0,No,No,49,Month-to-month,Yes,Electronic check,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,84.5,3906.7,4yr+,1,42.25,79.72857142857143,1,1,0
5948-UJZLF,Male,0,No,No,2,Month-to-month,No,Mailed check,No,Yes,No,DSL,No,Yes,No,No,No,No,49.25,97.0,0-1yr,1,24.625,48.5,1,1,0
7760-OYPDY,Female,0,No,No,2,Month-to-month,Yes,Electronic check,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,80.65,144.15,0-1yr,1,40.325,72.075,1,1,0
7639-LIAYI,Male,0,No,No,52,Two year,Yes,Credit card (automatic),No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,79.75,4217.8,4yr+,4,15.95,81.11153846153846,0,1,0
2954-PIBKO,Female,0,Yes,Yes,69,Two year,Yes,Credit card (automatic),No,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,64.15,4254.1,4yr+,3,16.0375,61.6536231884058,0,1,0
8012-SOUDQ,Female,1,No,No,43,Month-to-month,Yes,Electronic check,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,90.25,3838.75,2-4yr,2,30.083333333333332,89.27325581395348,1,1,1
9420-LOJKX,Female,0,No,No,15,Month-to-month,Yes,Credit card (automatic),Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,99.1,1426.4,1-2yr,4,19.82,95.09333333333333,1,1,0
6575-SUVOI,Female,1,Yes,No,25,Month-to-month,Yes,Credit card (automatic),No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,69.5,1752.65,2-4yr,3,17.375,70.10600000000001,1,1,0
7495-OOKFY,Female,1,Yes,No,8,Month-to-month,Yes,Credit card (automatic),Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,80.65,633.3,0-1yr,1,40.325,79.1625,1,1,0
4667-QONEA,Female,1,Yes,Yes,60,One year,Yes,Credit card (automatic),No,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,74.85,4456.35,4yr+,5,12.475,74.27250000000001,0,1,0
1658-BYGOY,Male,1,No,No,18,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,95.45,1752.55,1-2yr,2,31.816666666666666,97.36388888888888,1,1,1
8769-KKTPH,Female,0,Yes,Yes,63,One year,Yes,Credit card (automatic),No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,99.65,6311.2,4yr+,3,24.9125,100.17777777777778,0,1,0
5067-XJQFU,Male,1,Yes,Yes,66,One year,Yes,Electronic check,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,108.45,7076.35,4yr+,5,18.075,107.21742424242424,0,1,0
3957-SQXML,Female,0,Yes,Yes,34,Two year,No,Credit card (automatic),No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24.95,894.3,2-4yr,0,24.95,26.302941176470586,0,0,0
5954-BDFSG,Female,0,No,No,72,Two year,Yes,Credit card (automatic),No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,107.5,7853.7,4yr+,4,21.5,109.07916666666667,0,1,0
0434-CSFON,Female,0,Yes,No,47,Month-to-month,Yes,Electronic check,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,100.5,4707.1,2-4yr,3,25.125,100.15106382978725,1,1,0
1215-FIGMP,Male,0,No,No,60,Month-to-month,Yes,Bank transfer (automatic),No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,89.9,5450.7,4yr+,2,29.96666666666667,90.845,1,1,0
0526-SXDJP,Male,0,Yes,No,72,Two year,No,Bank transfer (automatic),No,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,42.1,2962.0,4yr+,3,10.525,41.138888888888886,0,1,0
0557-ASKVU,Female,0,Yes,Yes,18,One year,Yes,Credit card (automatic),No,Yes,No,DSL,No,No,Yes,Yes,No,No,54.4,957.1,1-2yr,2,18.133333333333333,53.172222222222224,0,1,0
5698-BQJOH,Female,0,No,No,9,Month-to-month,No,Electronic check,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,94.4,857.25,0-1yr,2,31.46666666666667,95.25,1,1,0
5122-CYFXA,Female,0,No,No,3,Month-to-month,Yes,Electronic check,No,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,75.3,244.1,0-1yr,4,15.059999999999999,81.36666666666666,1,1,0
8627-ZYGSZ,Male,0,Yes,No,47,One year,Yes,Electronic check,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,78.9,3650.35,2-4yr,1,39.45,77.66702127659575,0,1,0
3410-YOQBQ,Female,0,No,No,31,Two year,No,Mailed check,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,79.2,2497.2,2-4yr,5,13.200000000000001,80.55483870967741,0,1,0
3170-NMYVV,Female,0,Yes,Yes,50,Two year,No,Bank transfer (automatic),No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.15,930.9,4yr+,0,20.15,18.618,0,0,0
7410-OIEDU,Male,0,No,No,10,Month-to-month,Yes,Mailed check,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,79.85,887.35,0-1yr,2,26.616666666666664,88.735,1,1,0
2273-QCKXA,Male,0,No,No,1,Month-to-month,No,Mailed check,No,Yes,No,DSL,No,No,No,Yes,No,No,49.05,49.05,0-1yr,1,24.525,49.05,1,1,0
0731-EBJQB,Female,0,Yes,Yes,52,One year,Yes,Electronic check,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.4,1090.65,4yr+,0,20.4,20.974038461538463,0,0,0
1891-QRQSA,Male,1,Yes,Yes,64,Two year,Yes,Bank transfer (automatic),No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,111.6,7099.0,4yr+,5,18.599999999999998,110.921875,0,1,0
8028-PNXHQ,Male,0,Yes,Yes,62,Two year,Yes,Bank transfer (automatic),No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24.25,1424.6,4yr+,0,24.25,22.97741935483871,0,0,0
5630-AHZIL,Female,0,No,Yes,3,Month-to-month,Yes,Bank transfer (automatic),No,Yes,No,DSL,Yes,No,No,Yes,No,Yes,64.5,177.4,0-1yr,3,16.125,59.13333333333333,1,1,0
2673-CXQEU,Female,1,No,No,56,One year,No,Electronic check,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,110.5,6139.5,4yr+,5,18.416666666666668,109.63392857142857,0,1,1
6416-JNVRK,Female,0,No,No,46,One year,No,Credit card (automatic),No,Yes,No,DSL,No,No,No,No,No,Yes,55.65,2688.85,2-4yr,1,27.825,58.45326086956521,0,1,0
5590-ZSKRV,Female,0,Yes,Yes,8,Month-to-month,No,Mailed check,No,Yes,No,DSL,Yes,Yes,No,No,No,No,54.65,482.25,0-1yr,2,18.216666666666665,60.28125,1,1,0
0191-ZHSKZ,Male,1,No,No,30,Month-to-month,Yes,Electronic check,No,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,74.75,2111.3,2-4yr,4,14.95,70.37666666666668,1,1,1
3887-PBQAO,Female,0,Yes,Yes,45,One year,Yes,Credit card (automatic),No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,25.9,1216.6,2-4yr,0,25.9,27.035555555555554,0,0,0
5919-TMRGD,Female,0,No,Yes,1,Month-to-month,Yes,Electronic check,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,79.35,79.35,0-1yr,1,39.675,79.35,1,1,0
8108-UXRQN,Female,0,Yes,Yes,11,Month-to-month,No,Electronic check,No,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,50.55,565.35,0-1yr,3,12.6375,51.39545454545455,1,1,0
9191-MYQKX,Female,0,Yes,No,7,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,No,Fiber optic,No,No,Yes,No,No,No,75.15,496.9,0-1yr,1,37.575,70.98571428571428,1,1,0
9919-YLNNG,Female,0,No,No,42,Month-to-month,Yes,Bank transfer (automatic),No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,103.8,4327.5,2-4yr,5,17.3,103.03571428571429,1,1,0
0318-ZOPWS,Female,0,Yes,No,49,Two year,Yes,Bank transfer (automatic),No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.15,973.35,4yr+,0,20.15,19.864285714285714,0,0,0
4445-ZJNMU,Male,0,No,No,9,Month-to-month,Yes,Credit card (automatic),No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,99.3,918.75,0-1yr,3,24.825,102.08333333333333,1,1,0
4808-YNLEU,Female,0,Yes,No,35,One year,Yes,Bank transfer (automatic),No,Yes,No,DSL,Yes,No,No,No,Yes,No,62.15,2215.45,2-4yr,2,20.716666666666665,63.29857142857142,0,1,0
1862-QRWPE,Female,0,Yes,Yes,48,Two year,No,Bank transfer (automatic),No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.65,1057.0,2-4yr,0,20.65,22.020833333333332,0,0,0
2796-NNUFI,Female,0,Yes,Yes,46,Two year,Yes,Mailed check,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.95,927.1,2-4yr,0,19.95,20.15434782608696,0,0,0
3016-KSVCP,Male,0,Yes,No,29,Month-to-month,No,Mailed check,No,No,No phone service,DSL,No,No,No,No,Yes,No,33.75,1009.25,2-4yr,1,16.875,34.80172413793103,1,1,0
4767-HZZHQ,Male,0,Yes,Yes,30,Month-to-month,No,Bank transfer (automatic),No,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,82.05,2570.2,2-4yr,2,27.349999999999998,85.67333333333333,1,1,0
2424-WVHPL,Male,1,No,No,1,Month-to-month,No,Electronic check,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,74.7,74.7,0-1yr,1,37.35,74.7,1,1,1
7233-PAHHL,Male,0,Yes,Yes,66,Two year,Yes,Mailed check,No,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,84.0,5714.25,4yr+,5,14.0,86.57954545454545,0,1,0
6067-NGCEU,Female,0,No,No,65,Month-to-month,Yes,Credit card (automatic),No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,111.05,7107.0,4yr+,5,18.508333333333333,109.33846153846154,1,1,0
9848-JQJTX,Male,0,No,No,72,Two year,Yes,Bank transfer (automatic),No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,100.9,7459.05,4yr+,4,20.18,103.59791666666666,0,1,0
8637-XJIVR,Female,0,No,No,12,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,78.95,927.35,0-1yr,1,39.475,77.27916666666667,1,1,0
9803-FTJCG,Male,0,Yes,Yes,71,One year,Yes,Credit card (automatic),No,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,66.85,4748.7,4yr+,3,16.7125,66.8830985915493,0,1,0
0278-YXOOG,Male,0,No,No,5,Month-to-month,No,Mailed check,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.05,113.85,0-1yr,0,21.05,22.77,1,0,0
3212-KXOCR,Male,0,No,No,52,Two year,No,Bank transfer (automatic),No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.0,1107.2,4yr+,0,21.0,21.292307692307695,0,0,0
4598-XLKNJ,Female,1,Yes,No,25,Month-to-month,Yes,Electronic check,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,98.5,2514.5,2-4yr,4,19.7,100.58,1,1,0
6380-ARCEH,Male,0,No,No,1,Month-to-month,No,Mailed check,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.2,20.2,0-1yr,0,20.2,20.2,1,0,0
3679-XASPY,Female,0,Yes,Yes,1,Month-to-month,No,Electronic check,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.45,19.45,0-1yr,0,19.45,19.45,1,0,0
7123-WQUHX,Male,0,No,No,38,One year,No,Bank transfer (automatic),No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,95.0,3605.6,2-4yr,3,23.75,94.88421052631578,0,1,0
5386-THSLQ,Female,1,Yes,No,66,One year,No,Bank transfer (automatic),No,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,45.55,3027.25,4yr+,3,11.3875,45.86742424242424,0,1,0
3192-NQECA,Male,0,Yes,No,68,Two year,Yes,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,110.0,7611.85,4yr+,5,18.333333333333332,111.93897058823529,0,1,0
6180-YBIQI,Male,0,No,No,5,Month-to-month,No,Mailed check,No,No,No phone service,DSL,No,No,No,No,No,No,24.3,100.2,0-1yr,0,24.3,20.04,1,1,0
6728-DKUCO,Female,0,Yes,Yes,72,One year,Yes,Electronic check,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,104.15,7303.05,4yr+,4,20.830000000000002,101.43125,0,1,0
9750-BOOHV,Female,0,No,No,32,One year,No,Mailed check,No,No,No phone service,DSL,Yes,No,No,No,No,No,30.15,927.65,2-4yr,1,15.075,28.9890625,0,1,0
8597-CWYHH,Male,0,No,No,43,One year,No,Mailed check,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,94.35,3921.3,2-4yr,2,31.45,91.19302325581396,0,1,0
2848-YXSMW,Male,0,Yes,Yes,72,Two year,No,Credit card (automatic),No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.4,1363.25,4yr+,0,19.4,18.93402777777778,0,0,0
0486-HECZI,Male,0,Yes,No,55,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,96.75,5238.9,4yr+,3,24.1875,95.25272727272727,1,1,0
4549-ZDQYY,Female,0,No,No,52,One year,No,Credit card (automatic),No,Yes,No,DSL,Yes,No,Yes,Yes,No,No,57.95,3042.25,4yr+,3,14.4875,58.50480769230769,0,1,0
5712-AHQNN,Female,0,No,No,43,Month-to-month,Yes,Electronic check,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,91.65,3954.1,2-4yr,3,22.9125,91.95581395348837,1,1,0
4846-WHAFZ,Female,1,Yes,No,37,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,76.5,2868.15,2-4yr,0,76.5,77.51756756756757,1,1,0
5256-SKJGO,Female,0,Yes,Yes,64,Two year,Yes,Electronic check,No,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,54.6,3423.5,4yr+,4,10.92,53.4921875,0,1,0
3071-VBYPO,Male,0,Yes,Yes,3,Month-to-month,No,Electronic check,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,89.85,248.4,0-1yr,3,22.4625,82.8,1,1,0
9560-BBZXK,Female,0,No,No,36,Two year,No,Bank transfer (automatic),No,No,No phone service,DSL,Yes,No,No,No,No,No,31.05,1126.35,2-4yr,1,15.525,31.287499999999998,0,1,0
5299-RULOA,Female,0,Yes,Yes,10,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,100.25,1064.65,0-1yr,3,25.0625,106.465,1,1,0
8402-OOOHJ,Female,0,No,No,41,Two year,No,Mailed check,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.65,835.15,2-4yr,0,20.65,20.36951219512195,0,0,0
9445-ZUEQE,Male,0,Yes,Yes,27,Month-to-month,Yes,Credit card (automatic),No,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,85.2,2151.6,2-4yr,2,28.400000000000002,79.68888888888888,1,1,0
1091-SOZGA,Female,0,Yes,Yes,56,One year,Yes,Credit card (automatic),No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,99.8,5515.45,4yr+,3,24.95,98.49017857142857,0,1,0
2928-HLDBA,Female,0,No,No,6,Month-to-month,No,Mailed check,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.7,112.75,0-1yr,0,20.7,18.791666666666668,1,0,0
0404-SWRVG,Male,0,No,No,3,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,74.4,229.55,0-1yr,0,74.4,76.51666666666667,1,1,0
6497-TILVL,Female,0,Yes,Yes,7,Month-to-month,No,Mailed check,No,Yes,No,DSL,Yes,No,No,No,No,No,50.7,350.35,0-1yr,1,25.35,50.050000000000004,1,1,0
7219-TLZHO,Female,0,Yes,Yes,4,Month-to-month,No,Mailed check,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.85,62.9,0-1yr,0,20.85,15.725,1,0,0
4622-YNKIJ,Male,0,No,No,33,Two year,Yes,Electronic check,No,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,88.95,3027.65,2-4yr,3,22.2375,91.7469696969697,0,1,0
4412-YLTKF,Female,1,No,No,27,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,78.05,2135.5,2-4yr,1,39.025,79.0925925925926,1,1,1
6734-PSBAW,Male,0,Yes,No,72,Two year,Yes,Bank transfer (automatic),No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,23.55,1723.95,4yr+,0,23.55,23.94375,0,0,0
